season,team,w,l,winper,total_salary,start_year
1990-91,Portland Trail Blazers,63,19,0.7682926829268293,11215000,1990
1990-91,Chicago Bulls,61,21,0.7439024390243902,10040000,1990
1990-91,Los Angeles Lakers,58,24,0.7073170731707317,12120000,1990
1990-91,Boston Celtics,56,26,0.6829268292682927,11256000,1990
1990-91,Phoenix Suns,55,27,0.6707317073170732,11463000,1990
1990-91,San Antonio Spurs,55,27,0.6707317073170732,11057000,1990
1990-91,Utah Jazz,54,28,0.6585365853658537,10695000,1990
1990-91,Houston Rockets,52,30,0.6341463414634146,10500000,1990
1990-91,Detroit Pistons,50,32,0.6097560975609756,12910000,1990
1990-91,Milwaukee Bucks,48,34,0.5853658536585366,11595000,1990
1990-91,Golden State Warriors,44,38,0.5365853658536586,11150000,1990
1990-91,Philadelphia 76ers,44,38,0.5365853658536586,11640000,1990
1990-91,Atlanta Hawks,43,39,0.524390243902439,11761000,1990
1990-91,Indiana Pacers,41,41,0.5,10981000,1990
1990-91,Seattle SuperSonics,41,41,0.5,10590000,1990
1990-91,New York Knicks,39,43,0.47560975609756095,13290000,1990
1990-91,Cleveland Cavaliers,33,49,0.4024390243902439,14403000,1990
1990-91,Orlando Magic,31,51,0.3780487804878049,7532000,1990
1990-91,Los Angeles Clippers,31,51,0.3780487804878049,10245000,1990
1990-91,Washington Bullets,30,52,0.36585365853658536,9610000,1990
1990-91,Minnesota Timberwolves,29,53,0.35365853658536583,7540000,1990
1990-91,Dallas Mavericks,28,54,0.34146341463414637,11693000,1990
1990-91,New Jersey Nets,26,56,0.3170731707317073,11410000,1990
1990-91,Charlotte Hornets,26,56,0.3170731707317073,10417000,1990
1990-91,Sacramento Kings,25,57,0.3048780487804878,9605000,1990
1990-91,Miami Heat,24,58,0.2926829268292683,8510000,1990
1990-91,Denver Nuggets,20,62,0.24390243902439024,10335000,1990
1991-92,Chicago Bulls,67,15,0.8170731707317073,16829000,1991
1991-92,Portland Trail Blazers,57,25,0.6951219512195121,12742000,1991
1991-92,Cleveland Cavaliers,57,25,0.6951219512195121,16882000,1991
1991-92,Golden State Warriors,55,27,0.6707317073170732,12500000,1991
1991-92,Utah Jazz,55,27,0.6707317073170732,12761000,1991
1991-92,Phoenix Suns,53,29,0.6463414634146342,13593000,1991
1991-92,Boston Celtics,51,31,0.6219512195121951,25343000,1991
1991-92,New York Knicks,51,31,0.6219512195121951,12399000,1991
1991-92,Detroit Pistons,48,34,0.5853658536585366,15428000,1991
1991-92,Seattle SuperSonics,47,35,0.573170731707317,13308000,1991
1991-92,San Antonio Spurs,47,35,0.573170731707317,11587000,1991
1991-92,Los Angeles Clippers,45,37,0.5487804878048781,12976000,1991
1991-92,Los Angeles Lakers,43,39,0.524390243902439,15673000,1991
1991-92,Houston Rockets,42,40,0.5121951219512195,13274000,1991
1991-92,Indiana Pacers,40,42,0.4878048780487805,15090000,1991
1991-92,New Jersey Nets,40,42,0.4878048780487805,12598000,1991
1991-92,Atlanta Hawks,38,44,0.4634146341463415,12930000,1991
1991-92,Miami Heat,38,44,0.4634146341463415,11514000,1991
1991-92,Philadelphia 76ers,35,47,0.4268292682926829,14058000,1991
1991-92,Charlotte Hornets,31,51,0.3780487804878049,12625000,1991
1991-92,Milwaukee Bucks,31,51,0.3780487804878049,12451000,1991
1991-92,Sacramento Kings,29,53,0.35365853658536583,12492000,1991
1991-92,Washington Bullets,25,57,0.3048780487804878,12633000,1991
1991-92,Denver Nuggets,24,58,0.2926829268292683,11879000,1991
1991-92,Dallas Mavericks,22,60,0.2682926829268293,13004000,1991
1991-92,Orlando Magic,21,61,0.25609756097560976,12250000,1991
1991-92,Minnesota Timberwolves,15,67,0.18292682926829268,10763000,1991
1992-93,Phoenix Suns,62,20,0.7560975609756098,14280000,1992
1992-93,New York Knicks,60,22,0.7317073170731707,14001000,1992
1992-93,Chicago Bulls,57,25,0.6951219512195121,18536000,1992
1992-93,Seattle SuperSonics,55,27,0.6707317073170732,14033000,1992
1992-93,Houston Rockets,55,27,0.6707317073170732,15877000,1992
1992-93,Cleveland Cavaliers,54,28,0.6585365853658537,19676000,1992
1992-93,Portland Trail Blazers,51,31,0.6219512195121951,16369000,1992
1992-93,San Antonio Spurs,49,33,0.5975609756097561,18083000,1992
1992-93,Boston Celtics,48,34,0.5853658536585366,25217000,1992
1992-93,Utah Jazz,47,35,0.573170731707317,14517000,1992
1992-93,Charlotte Hornets,44,38,0.5365853658536586,14150000,1992
1992-93,Atlanta Hawks,43,39,0.524390243902439,18036000,1992
1992-93,New Jersey Nets,43,39,0.524390243902439,16314000,1992
1992-93,Indiana Pacers,41,41,0.5,16268000,1992
1992-93,Los Angeles Clippers,41,41,0.5,14288000,1992
1992-93,Orlando Magic,41,41,0.5,14970000,1992
1992-93,Detroit Pistons,40,42,0.4878048780487805,13954000,1992
1992-93,Los Angeles Lakers,39,43,0.47560975609756095,18851000,1992
1992-93,Denver Nuggets,36,46,0.4390243902439024,13776180,1992
1992-93,Miami Heat,36,46,0.4390243902439024,15125000,1992
1992-93,Golden State Warriors,34,48,0.4146341463414634,15473000,1992
1992-93,Milwaukee Bucks,28,54,0.34146341463414637,14032000,1992
1992-93,Philadelphia 76ers,26,56,0.3170731707317073,17367000,1992
1992-93,Sacramento Kings,25,57,0.3048780487804878,13953000,1992
1992-93,Washington Bullets,22,60,0.2682926829268293,17249000,1992
1992-93,Minnesota Timberwolves,19,63,0.23170731707317072,13732000,1992
1992-93,Dallas Mavericks,11,71,0.13414634146341464,10859000,1992
1993-94,Seattle SuperSonics,63,19,0.7682926829268293,15967000,1993
1993-94,Houston Rockets,58,24,0.7073170731707317,16757000,1993
1993-94,Atlanta Hawks,57,25,0.6951219512195121,22510000,1993
1993-94,New York Knicks,57,25,0.6951219512195121,22109000,1993
1993-94,Phoenix Suns,56,26,0.6829268292682927,21485000,1993
1993-94,San Antonio Spurs,55,27,0.6707317073170732,19316365,1993
1993-94,Chicago Bulls,55,27,0.6707317073170732,18531000,1993
1993-94,Utah Jazz,53,29,0.6463414634146342,16990000,1993
1993-94,Golden State Warriors,50,32,0.6097560975609756,19239000,1993
1993-94,Orlando Magic,50,32,0.6097560975609756,19939000,1993
1993-94,Portland Trail Blazers,47,35,0.573170731707317,23534000,1993
1993-94,Cleveland Cavaliers,47,35,0.573170731707317,23711000,1993
1993-94,Indiana Pacers,47,35,0.573170731707317,17196000,1993
1993-94,New Jersey Nets,45,37,0.5487804878048781,20107000,1993
