team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Denver Nuggets,DEN,Jeff Green,68,11,3,1,216.63778162911612
Denver Nuggets,DEN,Facundo Campazzo,65,6,2,3,183.13835932986714
Los Angeles Clippers,LAC,Paul George,54,23,6,5,3042.6857938287835
Los Angeles Clippers,LAC,Kawhi Leonard,52,24,6,5,3042.6803804810147
Los Angeles Clippers,LAC,Eric Bledsoe,71,12,3,3,1401.670404454412
Los Angeles Clippers,LAC,Marcus Morris,57,13,4,1,1208.5613641636378
Los Angeles Clippers,LAC,Luke Kennard,63,8,2,1,984.2450699868533
Los Angeles Clippers,LAC,Reggie Jackson,67,10,2,3,803.0701415203774
Los Angeles Clippers,LAC,Serge Ibaka,41,11,6,1,753.3833423555797
Los Angeles Clippers,LAC,Ivica Zubac,72,9,7,1,581.433609156291
Los Angeles Clippers,LAC,Justise Winslow,26,6,4,1,1307.12543500116
Los Angeles Clippers,LAC,Nicolas Batum,67,8,4,2,944.5137267032712
Los Angeles Clippers,LAC,Paul George,54,23,6,5,3042.6857938287835
Los Angeles Clippers,LAC,Kawhi Leonard,52,24,6,5,3042.6803804810147
Los Angeles Clippers,LAC,Eric Bledsoe,71,12,3,3,1401.670404454412
Los Angeles Clippers,LAC,Marcus Morris,57,13,4,1,1208.5613641636378
Los Angeles Clippers,LAC,Luke Kennard,63,8,2,1,984.2450699868533
Los Angeles Clippers,LAC,Reggie Jackson,67,10,2,3,803.0701415203774
Los Angeles Clippers,LAC,Serge Ibaka,41,11,6,1,753.3833423555797
Los Angeles Clippers,LAC,Ivica Zubac,72,9,7,1,581.433609156291
Los Angeles Clippers,LAC,Justise Winslow,26,6,4,1,1307.12543500116
Los Angeles Clippers,LAC,Nicolas Batum,67,8,4,2,944.5137267032712
Dallas Mavericks,DAL,Kristaps Porzi,43,20,8,1,872.5423168109389
Dallas Mavericks,DAL,Tim Hardaway Jr.,70,16,3,1,587.3853448751172
Dallas Mavericks,DAL,Dwight Powell,58,5,4,1,303.2475051000717
Dallas Mavericks,DAL,Luka Don,66,27,8,8,280.48715333296576
Dallas Mavericks,DAL,Reggie Bullock,65,10,3,1,262.88801896675307
Dallas Mavericks,DAL,Maxi Kleber,50,7,5,1,241.21960632960247
Dallas Mavericks,DAL,Willie Cauley-Stein,53,5,4,0,115.78541103820919
Dallas Mavericks,DAL,Dorian Finney-Smith,60,9,5,1,110.2718200363897
Dallas Mavericks,DAL,Trey Burke,62,6,0,1,91.89317417433975
Dallas Mavericks,DAL,Sterling Brown,51,8,4,1,82.70386502729228
Dallas Mavericks,DAL,Josh Green,39,2,2,0,81.53277829850582
Los Angeles Lakers,LAL,Russell Westbrook,65,22,11,11,3419.0044080117545
Los Angeles Lakers,LAL,LeBron James,45,25,7,7,3184.6372283659425
Los Angeles Lakers,LAL,Anthony Davis,36,21,7,3,2734.6191323176863
Los Angeles Lakers,LAL,Talen Horton-Tucker,65,9,2,2,734.6686257830021
Los Angeles Lakers,LAL,Kendrick Nunn,56,14,3,2,386.6676977805274
Los Angeles Lakers,LAL,Luol Deng,0,0,0,0,385.89436238496637
Los Angeles Lakers,LAL,Russell Westbrook,65,22,11,11,3419.0044080117545
Los Angeles Lakers,LAL,LeBron James,45,25,7,7,3184.6372283659425
Los Angeles Lakers,LAL,Anthony Davis,36,21,7,3,2734.6191323176863
Los Angeles Lakers,LAL,Talen Horton-Tucker,65,9,2,2,734.6686257830021
Los Angeles Lakers,LAL,Kendrick Nunn,56,14,3,2,386.6676977805274
Los Angeles Lakers,LAL,Luol Deng,0,0,0,0,385.89436238496637
Portland Trail Blazers,POR,Damian Lillard,67,28,4,7,754.7918499732588
Portland Trail Blazers,POR,CJ McCollum,47,23,3,4,532.4810310025362
Portland Trail Blazers,POR,Norman Powell,69,18,3,1,267.7094353294343
Portland Trail Blazers,POR,Robert Covington,70,8,6,1,223.85782309404274
Portland Trail Blazers,POR,Jusuf Nurki,37,11,9,3,207.028621706951
Portland Trail Blazers,POR,Larry Nance Jr.,35,9,6,3,184.44367958870313
Portland Trail Blazers,POR,Anfernee Simons,64,7,2,1,67.95400514121077
Portland Trail Blazers,POR,Andrew Nicholson,0,0,0,0,49.07318461777341
Portland Trail Blazers,POR,Patrick Patterson,38,5,2,0,58.29161706605938
Golden State Warriors,GSW,Stephen Curry,63,32,5,5,1156.0558066715487
