Player,Salary
Moses Moody,"$3,562,200"
Boban Marjanovic,"$3,500,000"
Mike Muscala,"$3,500,000"
Cole Anthony,"$3,449,400"
Corey Kispert,"$3,383,640"
Patrick Patterson,"$3,378,758"
Georges Niang,"$3,300,000"
Michael Carter-Williams,"$3,300,000"
Isaiah Stewart,"$3,277,080"
Chuma Okeke,"$3,277,080"
Nickeil Alexander-Walker,"$3,261,480"
Alperen Sengun,"$3,214,680"
Facundo Campazzo,"$3,200,000"
Jon Leuer,"$3,169,348"
Trey Burke,"$3,150,000"
Aleksej Pokusevski,"$3,113,160"
Goga Bitadze,"$3,098,400"
Trey Murphy,"$3,053,760"
Sterling Brown,"$3,000,000"
Frank Jackson,"$3,000,000"
Luka Samanic,"$2,959,080"
Josh Green,"$2,957,520"
Tre Mann,"$2,901,240"
Andrew Nicholson,"$2,844,429"
Matisse Thybulle,"$2,840,160"
Saddiq Bey,"$2,824,320"
Kai Jones,"$2,770,560"
Brandon Clarke,"$2,726,880"
Precious Achiuwa,"$2,711,280"
Marc Gasol,"$2,692,991"
Jalen Johnson,"$2,659,680"
Enes Kanter,"$2,641,691"
LaMarcus Aldridge,"$2,641,691"
James Johnson,"$2,641,691"
Paul Millsap,"$2,641,691"
Andre Iguodala,"$2,641,691"
Carmelo Anthony,"$2,641,691"
Trevor Ariza,"$2,641,691"
Wayne Ellington,"$2,641,691"
Dwight Howard,"$2,641,691"
Udonis Haslem,"$2,641,691"
Markieff Morris,"$2,641,691"
E'Twaun Moore,"$2,641,691"
Grant Williams,"$2,617,800"
Tyrese Maxey,"$2,602,920"
Keon Johnson,"$2,553,240"
Darius Bazley,"$2,513,040"
Trey Lyles,"$2,500,000"
Zeke Nnaji,"$2,498,760"
Isaiah Jackson,"$2,451,240"
Ty Jerome,"$2,412,840"
Austin Rivers,"$2,401,537"
Kent Bazemore,"$2,401,537"
Andre Drummond,"$2,401,537"
Hassan Whiteside,"$2,401,537"
Solomon Hill,"$2,389,641"
Otto Porter,"$2,389,641"
Victor Oladipo,"$2,389,641"
Ben McLemore,"$2,389,641"
Tony Snell,"$2,389,641"
Cody Zeller,"$2,389,641"
Usman Garuba,"$2,353,320"
Leandro Bolmaro,"$2,353,320"
Willy Hernangomez,"$2,327,220"
Edmond Sumner,"$2,320,000"
Nassir Little,"$2,316,240"
RJ Hampton,"$2,303,040"
Jabari Parker,"$2,283,034"
Josh Christopher,"$2,259,240"
Monta Ellis,"$2,245,400"
Rodney Hood,"$2,239,544"
Elfrid Payton,"$2,239,544"
Dylan Windler,"$2,239,200"
Immanuel Quickley,"$2,210,640"
John Konchar,"$2,200,000"
Quentin Grimes,"$2,168,640"
Jordan Poole,"$2,161,440"
Bol Bol,"$2,161,152"
Keldon Johnson,"$2,145,720"
Payton Pritchard,"$2,137,440"
Jahlil Okafor,"$2,130,023"
Bones Hyland,"$2,096,880"
Stanley Johnson,"$2,089,448"
Nemanja Bjelica,"$2,089,448"
Frank Kaminsky,"$2,089,448"
Raul Neto,"$2,089,448"
Udoka Azubuike,"$2,075,880"
Jaden McDaniels,"$2,063,280"
Malachi Flynn,"$2,048,040"
Cam Thomas,"$2,036,280"
Desmond Bane,"$2,033,160"
Jaden Springer,"$2,023,680"
Day'Ron Sharpe,"$2,009,160"
Jordan McLaughlin,"$2,000,000"
Jeremiah Robinson-Earl,"$2,000,000"
Kenrich Williams,"$2,000,000"
Theo Maledon,"$2,000,000"
Abdel Nader,"$2,000,000"
Santiago Aldama,"$1,994,520"
Gary Payton II,"$1,977,011"
Damian Jones,"$1,977,011"
Denzel Valentine,"$1,939,350"
Timothe Luwawu,"$1,939,350"
Rodney McGruder,"$1,939,350"
Marquese Chriss,"$1,939,350"
Damion Lee,"$1,910,860"
Larry Sanders,"$1,865,546"
Shake Milton,"$1,846,738"
Wesley Iwundu,"$1,824,003"
Jalen Brunson,"$1,802,057"
Mitchell Robinson,"$1,802,057"
Tony Bradley,"$1,789,256"
Frank Ntilikina,"$1,789,256"
Ryan Arcidiacono,"$1,789,256"
Jared Cunningham,"$1,789,256"
Jordan Bell,"$1,789,256"
Malik Monk,"$1,789,256"
Semi Ojeleye,"$1,789,256"
Chasson Randle,"$1,789,256"
Dennis Smith,"$1,789,256"
Sam Dekker,"$1,789,256"
Admiral Schofield,"$1,789,065"
Didi Louzada,"$1,786,878"
Jalen McDaniels,"$1,782,621"
Terance Mann,"$1,782,621"
Luguentz Dort,"$1,782,621"
Isaiah Roby,"$1,782,621"
Bruno Fernando,"$1,782,621"
Nicolas Claxton,"$1,782,621"
Cody Martin,"$1,782,621"
Dean Wade,"$1,782,621"
Vlatko Cancar,"$1,782,621"
Mychal Mulder,"$1,782,621"
Kevin Porter,"$1,782,621"
Carsen Edwards,"$1,782,621"
KZ Okpala,"$1,782,621"
Jaylen Nowell,"$1,782,621"
Naz Reid,"$1,782,621"
Miye Oni,"$1,782,621"
Eric Paschall,"$1,782,621"
Daniel Gafford,"$1,782,621"
Drew Eubanks,"$1,762,796"
Chimezie Metu,"$1,762,796"
Alize Johnson,"$1,729,217"
Thanasis Antetokounmpo,"$1,729,217"
Keita Bates-Diop,"$1,729,217"
Sviatoslav Mykhailiuk,"$1,729,217"
Theo Pinson,"$1,729,217"
Brad Wanamaker,"$1,729,217"
Harry Giles,"$1,729,217"
Moritz Wagner,"$1,729,217"
Isaac Bonga,"$1,729,217"
Moses Brown,"$1,701,593"
Juan Toscano-Anderson,"$1,701,593"
Oshae Brissett,"$1,701,593"
Kelan Martin,"$1,701,593"
Herb Jones,"$1,700,000"
Javonte Green,"$1,669,178"
Max Strus,"$1,669,178"
Gabe Vincent,"$1,669,178"
Kevin Pangos,"$1,669,178"
DaQuan Jeffries,"$1,669,178"
Garrison Mathews,"$1,669,178"
DeAndre Bembry,"$1,669,178"
Devontae Cacok,"$1,669,178"
Tyler Cook,"$1,669,178"
Matt Thomas,"$1,669,178"
Tacko Fall,"$1,669,178"
Quinndary Weatherspoon,"$1,669,178"
Tremont Waters,"$1,669,178"
Brian Bowen,"$1,669,178"
Chris Silva,"$1,669,178"
Jaylen Morris,"$1,669,178"
Vernon Carey,"$1,517,981"
Nick Richards,"$1,517,981"
Lamar Stevens,"$1,517,981"
Tyrell Terry,"$1,517,981"
KJ Martin,"$1,517,981"
Xavier Tillman,"$1,517,981"
Naji Marshall,"$1,517,981"
Isaiah Joe,"$1,517,981"
Paul Reed,"$1,517,981"
Tre Jones,"$1,517,981"
Deividas Sirvydis,"$1,517,981"
Jae'Sean Tate,"$1,517,981"
Sam Merrill,"$1,517,981"
Daniel Oturu,"$1,517,981"
Jordan Nwora,"$1,517,981"
CJ Elleby,"$1,517,981"
Jahmi'us Ramsey,"$1,517,981"
Robert Woodard,"$1,517,981"
Elijah Hughes,"$1,517,981"
Anthony Gill,"$1,517,981"
Saben Lee,"$1,489,065"
