"","Rk","Player","Tm","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","Signed Using","Guaranteed\"
"53","53","Danilo Gallinari\\gallida01","ATL",20475000,21450000,NA,NA,NA,NA,"Sign and Trade","$25475000\"
"54","54","Harrison Barnes\\barneha02","SAC",20284091,18352273,NA,NA,NA,NA,"Bird Rights","$38636364\"
"55","55","Jarrett Allen\\allenja01","CLE",2e+07,2e+07,2e+07,2e+07,2e+07,NA,"Bird","$100000000\"
"56","56","Jerami Grant\\grantje01","DET",2e+07,20952381,NA,NA,NA,NA,"Sign and Trade","$40952381\"
"57","57","Julius Randle\\randlju01","NYK",19800000,NA,NA,NA,NA,NA,"Cap Space","$4000000\"
"58","58","Lonzo Ball\\balllo01","CHI",19767442,20755814,21744186,22732558,NA,NA,"Sign and Trade","$85000000\"
"59","59","Fred VanVleet\\vanvlfr01","TOR",19675926,21250000,22824074,NA,NA,NA,"Bird","$40925926\"
"60","60","Zach LaVine\\lavinza01","CHI",19500000,NA,NA,NA,NA,NA,"Cap space","$19500000\"
"61","61","Goran Dragi\\dragigo01","TOR",19440000,NA,NA,NA,NA,NA,"Bird","$19440000\"
"62","62","Bojan Bogdanovi\\bogdabo02","UTA",18700000,19550000,NA,NA,NA,NA,"Cap Space","$38250000\"
"63","63","Domantas Sabonis\\sabondo01","IND",18562500,19937500,21312500,NA,NA,NA,"1st Round pick","$59812500\"
"64","64","Eric Gordon\\gordoer01","HOU",18218818,19568360,20917902,NA,NA,NA,"Cap Space","$37787178\"
"65","65","Evan Fournier\\fournev01","NYK",18139535,19046512,19953488,20860465,NA,NA,"Sign and Trade","$57139535\"
"66","66","Eric Bledsoe\\bledser01","LAC",18125000,19375000,NA,NA,NA,NA,"Bird Rights","$22025000\"
"67","67","Myles Turner\\turnemy01","IND",18000000,18000000,NA,NA,NA,NA,"1st Round pick","$36000000\"
"68","68","Bogdan Bogdanovi\\bogdabo01","ATL",18000000,18000000,18000000,NA,NA,NA,"Cap Space","$36000000\"
"69","69","Terry Rozier\\roziete01","CHO",17905263,21486316,23205221,24924126,26643031,NA,"Sign and Trade","$114163957\"
"70","70","Ricky Rubio\\rubiori01","MIN",17809524,NA,NA,NA,NA,NA,"Cap Space","$17809524\"
"71","71","Caris LeVert\\leverca01","IND",17500000,18796296,NA,NA,NA,NA,"1st Round pick","$36296296\"
"72","72","Jonathan Isaac\\isaacjo01","ORL",17400000,17400000,17400000,17400000,NA,NA,"Bird","$69600000\"
"73","73","Joe Harris\\harrijo01","BRK",17357143,18642857,19928571,NA,NA,NA,"Bird","$55928571\"
"74","74","Spencer Dinwiddie\\dinwisp01","WAS",17142857,18000000,18857143,NA,NA,NA,"Sign and Trade","$45142857\"
"75","75","Clint Capela\\capelca01","ATL",17103448,18206897,20616000,22265280,NA,NA,"Bird Rights","$78191625\"
"76","76","Steven Adams\\adamsst01","MEM",17073171,17926829,NA,NA,NA,NA,"1st Round Pick","$35000000\"
"77","77","Markelle Fultz\\fultzma01","ORL",16500000,16500000,17000000,NA,NA,NA,"Bird","$35000000\"
"78","78","Aaron Gordon\\gordoaa01","DEN",16409091,19690909,21266182,22841455,22841455,NA,"Bird Rights","$80207637\"
"79","79","OG Anunoby\\anunoog01","TOR",16071429,17357143,18642857,19928571,NA,NA,"Bird","$72000000\"
"80","80","Davis Bertans\\bertada01","WAS",16000000,16000000,17000000,16000000,NA,NA,"Bird","$60000000\"
"81","81","Gary Trent Jr.\\trentga02","TOR",16000000,17280000,18560000,NA,NA,NA,"Bird","$33280000\"
"82","82","Lauri Markkanen\\markkla01","CLE",15690909,16475454,35304543,NA,NA,NA,"Sign and Trade","$55426362\"
"83","83","Marcus Morris\\morrima03","LAC",15627907,16372093,17116279,NA,NA,NA,"Non Bird","$49116279\"
"84","84","Duncan Robinson\\robindu01","MIA",15560000,16902000,18154000,19406000,19888000,NA,"Bird","$79910000\"
