team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Utah Jazz,UTA,Royce O'Neale,293,5,4,2,402.4377927196847
Utah Jazz,UTA,Rudy Gay,1009,16,5,2,273.12775330396477
Denver Nuggets,DEN,Jamal Murray,345,16,3,3,1520.797227036395
Denver Nuggets,DEN,Nikola Joki,453,18,9,6,1468.8245233968805
Denver Nuggets,DEN,Aaron Gordon,453,12,6,2,789.962016175621
Denver Nuggets,DEN,Will Barton,552,11,4,2,1456.9909012131716
Denver Nuggets,DEN,Will Barton,552,11,4,2,1456.9909012131716
Denver Nuggets,DEN,Monte Morris,205,9,2,3,401.1810610437127
Denver Nuggets,DEN,JaMychal Green,420,8,6,0,763.1634411708069
Denver Nuggets,DEN,JaMychal Green,420,8,6,0,763.1634411708069
Denver Nuggets,DEN,Michael Porter Jr.,116,14,6,1,253.16459657230888
Denver Nuggets,DEN,Jeff Green,976,12,4,1,216.63778162911612
Denver Nuggets,DEN,Facundo Campazzo,65,6,2,3,183.13835932986714
Los Angeles Clippers,LAC,Paul George,706,20,6,3,3042.6857938287835
Los Angeles Clippers,LAC,Kawhi Leonard,576,19,6,2,3042.6803804810147
Los Angeles Clippers,LAC,Eric Bledsoe,702,14,3,4,1401.670404454412
Los Angeles Clippers,LAC,Marcus Morris,664,12,4,1,1208.5613641636378
Los Angeles Clippers,LAC,Luke Kennard,227,9,2,2,984.2450699868533
Los Angeles Clippers,LAC,Reggie Jackson,628,12,2,4,803.0701415203774
Los Angeles Clippers,LAC,Serge Ibaka,849,12,7,0,753.3833423555797
Los Angeles Clippers,LAC,Ivica Zubac,284,7,6,1,581.433609156291
Los Angeles Clippers,LAC,Justise Winslow,267,8,5,2,1307.12543500116
Los Angeles Clippers,LAC,Nicolas Batum,856,11,5,3,944.5137267032712
Los Angeles Clippers,LAC,Paul George,706,20,6,3,3042.6857938287835
Los Angeles Clippers,LAC,Kawhi Leonard,576,19,6,2,3042.6803804810147
Los Angeles Clippers,LAC,Eric Bledsoe,702,14,3,4,1401.670404454412
Los Angeles Clippers,LAC,Marcus Morris,664,12,4,1,1208.5613641636378
Los Angeles Clippers,LAC,Luke Kennard,227,9,2,2,984.2450699868533
Los Angeles Clippers,LAC,Reggie Jackson,628,12,2,4,803.0701415203774
Los Angeles Clippers,LAC,Serge Ibaka,849,12,7,0,753.3833423555797
Los Angeles Clippers,LAC,Ivica Zubac,284,7,6,1,581.433609156291
Los Angeles Clippers,LAC,Justise Winslow,267,8,5,2,1307.12543500116
Los Angeles Clippers,LAC,Nicolas Batum,856,11,5,3,944.5137267032712
Dallas Mavericks,DAL,Kristaps Porzi,286,18,7,1,872.5423168109389
Dallas Mavericks,DAL,Tim Hardaway Jr.,544,13,2,1,587.3853448751172
Dallas Mavericks,DAL,Dwight Powell,429,7,4,1,303.2475051000717
Dallas Mavericks,DAL,Luka Don,199,25,8,7,280.48715333296576
Dallas Mavericks,DAL,Reggie Bullock,366,7,2,1,262.88801896675307
Dallas Mavericks,DAL,Maxi Kleber,267,7,4,1,241.21960632960247
Dallas Mavericks,DAL,Willie Cauley-Stein,402,9,6,1,115.78541103820919
Dallas Mavericks,DAL,Dorian Finney-Smith,314,7,4,1,110.2718200363897
Dallas Mavericks,DAL,Trey Burke,456,10,1,3,91.89317417433975
Dallas Mavericks,DAL,Sterling Brown,215,5,3,1,82.70386502729228
Dallas Mavericks,DAL,Josh Green,39,2,2,0,81.53277829850582
Los Angeles Lakers,LAL,Russell Westbrook,943,23,7,8,3419.0044080117545
Los Angeles Lakers,LAL,LeBron James,1310,27,7,7,3184.6372283659425
Los Angeles Lakers,LAL,Anthony Davis,564,23,10,2,2734.6191323176863
Los Angeles Lakers,LAL,Talen Horton-Tucker,71,8,2,2,734.6686257830021
Los Angeles Lakers,LAL,Kendrick Nunn,123,15,2,3,386.6676977805274
Los Angeles Lakers,LAL,Luol Deng,902,14,6,2,385.89436238496637
Los Angeles Lakers,LAL,Russell Westbrook,943,23,7,8,3419.0044080117545
Los Angeles Lakers,LAL,LeBron James,1310,27,7,7,3184.6372283659425
Los Angeles Lakers,LAL,Anthony Davis,564,23,10,2,2734.6191323176863
Los Angeles Lakers,LAL,Talen Horton-Tucker,71,8,2,2,734.6686257830021
Los Angeles Lakers,LAL,Kendrick Nunn,123,15,2,3,386.6676977805274
Los Angeles Lakers,LAL,Luol Deng,902,14,6,2,385.89436238496637
Portland Trail Blazers,POR,Damian Lillard,682,24,4,6,754.7918499732588
Portland Trail Blazers,POR,CJ McCollum,528,18,3,3,532.4810310025362
Portland Trail Blazers,POR,Norman Powell,376,10,2,1,267.7094353294343
Portland Trail Blazers,POR,Robert Covington,466,12,5,1,223.85782309404274
Portland Trail Blazers,POR,Jusuf Nurki,355,11,8,2,207.028621706951
Portland Trail Blazers,POR,Larry Nance Jr.,350,8,6,1,184.44367958870313
Portland Trail Blazers,POR,Anfernee Simons,154,7,2,1,67.95400514121077
Portland Trail Blazers,POR,Andrew Nicholson,285,6,3,0,49.07318461777341
Portland Trail Blazers,POR,Patrick Patterson,719,6,3,1,58.29161706605938
Golden State Warriors,GSW,Stephen Curry,762,24,4,6,1156.0558066715487
Golden State Warriors,GSW,Klay Thompson,615,19,3,2,959.0848715941517
Golden State Warriors,GSW,Andrew Wiggins,525,19,4,2,797.4392060806546
Golden State Warriors,GSW,Draymond Green,639,8,6,5,606.7198303073154
Golden State Warriors,GSW,James Wiseman,39,11,5,0,231.4790030554784
Golden State Warriors,GSW,Kevon Looney,285,4,4,1,130.76871796166765
Memphis Grizzlies,MEM,Steven Adams,588,9,7,1,1158.1312576312575
Memphis Grizzlies,MEM,Justise Winslow,267,8,5,2,1146.5499253832588
Memphis Grizzlies,MEM,Dillon Brooks,240,14,3,1,827.5674942341609
Memphis Grizzlies,MEM,Kyle Anderson,436,6,4,2,674.0706824040158
Memphis Grizzlies,MEM,Ja Morant,130,18,3,7,651.4285714285714
Memphis Grizzlies,MEM,Jaren Jackson Jr.,126,15,4,1,622.7486094152761
Memphis Grizzlies,MEM,De'Anthony Melton,162,7,3,2,572.3443223443223
Memphis Grizzlies,MEM,Tyus Jones,382,5,1,3,510.2564102564103
Memphis Grizzlies,MEM,Jarrett Culver,97,7,3,1,433.8054538054538
Memphis Grizzlies,MEM,Kris Dunn,231,8,3,4,339.52991452991455
Memphis Grizzlies,MEM,Rajon Rondo,918,10,4,8,179.19488536155202
Memphis Grizzlies,MEM,Brandon Clarke,117,11,5,1,184.97354497354496
Washington Wizards,WAS,Bradley Beal,605,22,4,4,894.3241141553696
Washington Wizards,WAS,Spencer Dinwiddie,320,12,2,5,444.3572150651909
Washington Wizards,WAS,Davis Bertans,331,8,2,1,414.73340418362324
Washington Wizards,WAS,Kentavious Caldwell-Pope,606,11,3,1,337.97822649628034
Washington Wizards,WAS,Kyle Kuzma,276,15,5,1,336.9708908991939
