team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
San Antonio Spurs,SAS,78245,25894,126,Al-Farouq Aminu,10183800,aminual01,https://www.basketball-reference.com/players/a/aminual01.html,23,4,4,1
San Antonio Spurs,SAS,78245,25894,148,Jakob Poeltl,8750000,poeltja01,https://www.basketball-reference.com/players/p/poeltja01.html,69,8,7,1
San Antonio Spurs,SAS,78245,25894,180,Zach Collins,6984127,colliza01,https://www.basketball-reference.com/players/c/colliza01.html,0,0,0,0
San Antonio Spurs,SAS,78245,25894,233,Bryn Forbes,4500000,forbebr01,https://www.basketball-reference.com/players/f/forbebr01.html,70,10,1,0
San Antonio Spurs,SAS,78245,25894,237,Lonnie Walker,4447896,walkelo01,https://www.basketball-reference.com/players/w/walkelo01.html,60,11,2,1
San Antonio Spurs,SAS,78245,25894,244,Devin Vassell,4235160,vassede01,https://www.basketball-reference.com/players/v/vassede01.html,62,5,2,0
San Antonio Spurs,SAS,78245,25894,251,Chandler Hutchison,NA,hutchch01,https://www.basketball-reference.com/players/h/hutchch01.html,25,4,3,0
Chicago Bulls,CHI,60629,14295,42,DeMar DeRozan,26984127,derozde01,https://www.basketball-reference.com/players/d/derozde01.html,61,21,4,6
Chicago Bulls,CHI,60629,14295,46,Nikola Vu,24000000,vucevni01,https://www.basketball-reference.com/players/v/vucevni01.html,70,23,11,3
Chicago Bulls,CHI,60629,14295,58,Lonzo Ball,19767442,balllo01,https://www.basketball-reference.com/players/b/balllo01.html,55,14,4,5
Chicago Bulls,CHI,60629,14295,60,Zach LaVine,19500000,lavinza01,https://www.basketball-reference.com/players/l/lavinza01.html,58,27,5,4
Chicago Bulls,CHI,60629,14295,133,Derrick Jones Jr.,9731707,jonesde02,https://www.basketball-reference.com/players/j/jonesde02.html,58,6,3,0
Chicago Bulls,CHI,60629,14295,154,Alex Caruso,8604651,carusal01,https://www.basketball-reference.com/players/c/carusal01.html,58,6,2,2
Chicago Bulls,CHI,60629,14295,173,Patrick Williams,7422000,willipa01,https://www.basketball-reference.com/players/w/willipa01.html,71,9,4,1
Chicago Bulls,CHI,60629,14295,197,Coby White,5837760,whiteco01,https://www.basketball-reference.com/players/w/whiteco01.html,69,15,4,4
Chicago Bulls,CHI,60629,14295,210,Troy Brown Jr.,5170564,browntr01,https://www.basketball-reference.com/players/b/browntr01.html,34,4,3,0
Chicago Bulls,CHI,60629,14295,294,Ryan Arcidiacono,4789256,arcidry01,https://www.basketball-reference.com/players/a/arcidry01.html,44,3,1,1
New Orleans Pelicans,NOP,70726,29593,35,Brandon Ingram,29467800,ingrabr01,https://www.basketball-reference.com/players/i/ingrabr01.html,61,23,4,4
New Orleans Pelicans,NOP,70726,29593,97,Jonas Valan,14000000,valanjo01,https://www.basketball-reference.com/players/v/valanjo01.html,62,17,12,1
New Orleans Pelicans,NOP,70726,29593,114,Josh Hart,12000000,hartjo01,https://www.basketball-reference.com/players/h/hartjo01.html,47,9,8,2
New Orleans Pelicans,NOP,70726,29593,118,Devonte' Graham,11000000,grahade01,https://www.basketball-reference.com/players/g/grahade01.html,55,14,2,5
New Orleans Pelicans,NOP,70726,29593,120,Zion Williamson,10733400,willizi01,https://www.basketball-reference.com/players/w/willizi01.html,61,27,7,3
New Orleans Pelicans,NOP,70726,29593,130,TomSatoransk,10000000,satorto01,https://www.basketball-reference.com/players/s/satorto01.html,58,7,2,4
New Orleans Pelicans,NOP,70726,29593,204,Jaxson Hayes,5348280,hayesja02,https://www.basketball-reference.com/players/h/hayesja02.html,60,7,4,0
New Orleans Pelicans,NOP,70726,29593,221,Garrett Temple,4910000,templga01,https://www.basketball-reference.com/players/t/templga01.html,56,7,2,2
New Orleans Pelicans,NOP,70726,29593,264,Kira Lewis Jr.,3822240,lewiski01,https://www.basketball-reference.com/players/l/lewiski01.html,54,6,1,2
New Orleans Pelicans,NOP,70726,29593,284,Nickeil Alexander-Walker,3261480,alexani01,https://www.basketball-reference.com/players/a/alexani01.html,46,11,3,2
Sacramento Kings,SAC,95823,19714,36,De'Aaron Fox,28103550,foxde01,https://www.basketball-reference.com/players/f/foxde01.html,58,25,3,7
Sacramento Kings,SAC,95823,19714,48,Buddy Hield,22477273,hieldbu01,https://www.basketball-reference.com/players/h/hieldbu01.html,71,16,4,3
Sacramento Kings,SAC,95823,19714,54,Harrison Barnes,20284091,barneha02,https://www.basketball-reference.com/players/b/barneha02.html,58,16,6,3
Sacramento Kings,SAC,95823,19714,117,Marvin Bagley III,11312114,baglema01,https://www.basketball-reference.com/players/b/baglema01.html,43,14,7,1
Sacramento Kings,SAC,95823,19714,123,Richaun Holmes,10384500,holmeri01,https://www.basketball-reference.com/players/h/holmeri01.html,61,14,8,1
Sacramento Kings,SAC,95823,19714,136,Tristan Thompson,9720900,thomptr01,https://www.basketball-reference.com/players/t/thomptr01.html,54,7,8,1
Sacramento Kings,SAC,95823,19714,240,Maurice Harkless,4347600,harklma01,https://www.basketball-reference.com/players/h/harklma01.html,37,5,2,1
Sacramento Kings,SAC,95823,19714,250,Tyrese Haliburton,4023600,halibty01,https://www.basketball-reference.com/players/h/halibty01.html,58,13,3,5
Sacramento Kings,SAC,95823,19714,253,Terence Davis,4000000,daviste02,https://www.basketball-reference.com/players/d/daviste02.html,61,8,2,1
Sacramento Kings,SAC,95823,19714,270,Alex Len,3731707,lenal01,https://www.basketball-reference.com/players/l/lenal01.html,64,6,4,0
Minnesota Timberwolves,MIN,55407,26092,21,Karl-Anthony Towns,31610000,townska01,https://www.basketball-reference.com/players/t/townska01.html,50,24,10,4
Minnesota Timberwolves,MIN,55407,26092,32,D'Angelo Russell,30013500,russeda01,https://www.basketball-reference.com/players/r/russeda01.html,42,19,2,5
Minnesota Timberwolves,MIN,55407,26092,70,Ricky Rubio,17809524,rubiori01,https://www.basketball-reference.com/players/r/rubiori01.html,68,8,3,6
Minnesota Timberwolves,MIN,55407,26092,92,Malik Beasley,14391964,beaslma01,https://www.basketball-reference.com/players/b/beaslma01.html,37,19,4,2
Minnesota Timberwolves,MIN,55407,26092,94,Patrick Beverley,14320988,beverpa01,https://www.basketball-reference.com/players/b/beverpa01.html,37,7,3,2
Minnesota Timberwolves,MIN,55407,26092,125,Anthony Edwards,10245480,edwaran01,https://www.basketball-reference.com/players/e/edwaran01.html,72,19,4,2
Minnesota Timberwolves,MIN,55407,26092,242,Jarred Vanderbilt,4259259,vandeja01,https://www.basketball-reference.com/players/v/vandeja01.html,64,5,5,1
Minnesota Timberwolves,MIN,55407,26092,248,Josh Okogie,4087904,okogijo01,https://www.basketball-reference.com/players/o/okogijo01.html,59,5,2,1
Minnesota Timberwolves,MIN,55407,26092,259,Jake Layman,3940184,laymaja01,https://www.basketball-reference.com/players/l/laymaja01.html,45,5,1,0
Cleveland Cavaliers,CLE,44130,30981,27,Kevin Love,31300000,loveke01,https://www.basketball-reference.com/players/l/loveke01.html,25,12,7,2
Cleveland Cavaliers,CLE,44130,30981,55,Jarrett Allen,20000000,allenja01,https://www.basketball-reference.com/players/a/allenja01.html,63,12,10,1
Cleveland Cavaliers,CLE,44130,30981,82,Lauri Markkanen,15690909,markkla01,https://www.basketball-reference.com/players/m/markkla01.html,51,13,5,0
Cleveland Cavaliers,CLE,44130,30981,89,Taurean Prince,15057692,princta02,https://www.basketball-reference.com/players/p/princta02.html,41,9,3,1
Cleveland Cavaliers,CLE,44130,30981,165,Cedi Osman,8050000,osmande01,https://www.basketball-reference.com/players/o/osmande01.html,59,10,3,2
Cleveland Cavaliers,CLE,44130,30981,175,Darius Garland,7040880,garlada01,https://www.basketball-reference.com/players/g/garlada01.html,54,17,2,6
Cleveland Cavaliers,CLE,44130,30981,182,Isaac Okoro,6720720,okorois01,https://www.basketball-reference.com/players/o/okorois01.html,67,9,3,1
Cleveland Cavaliers,CLE,44130,30981,188,Collin Sexton,6349671,sextoco01,https://www.basketball-reference.com/players/s/sextoco01.html,60,24,3,4
Oklahoma City Thunder,OKC,73099,31777,43,Kemba Walker,8729020,walkeke02,https://www.basketball-reference.com/players/w/walkeke02.html,43,19,4,4
Oklahoma City Thunder,OKC,73099,31777,137,Derrick Favors,9720900,favorde01,https://www.basketball-reference.com/players/f/favorde01.html,68,5,5,0
Oklahoma City Thunder,OKC,73099,31777,201,Shai Gilgeous-Alexander,5495532,gilgesh01,https://www.basketball-reference.com/players/g/gilgesh01.html,35,23,4,5
Oklahoma City Thunder,OKC,73099,31777,271,Gabriel Deck,3670000,deckga01,https://www.basketball-reference.com/players/d/deckga01.html,10,8,4,2
Oklahoma City Thunder,OKC,73099,31777,277,Mike Muscala,3500000,muscami01,https://www.basketball-reference.com/players/m/muscami01.html,35,9,3,0
Oklahoma City Thunder,OKC,73099,31777,288,Aleksej Pokusevski,3113160,pokusal01,https://www.basketball-reference.com/players/p/pokusal01.html,45,8,4,2
Orlando Magic,ORL,32828,30846,52,Gary Harris,20482143,harriga01,https://www.basketball-reference.com/players/h/harriga01.html,39,9,2,2
Orlando Magic,ORL,32828,30846,72,Jonathan Isaac,17400000,isaacjo01,https://www.basketball-reference.com/players/i/isaacjo01.html,0,0,0,0
Orlando Magic,ORL,32828,30846,77,Markelle Fultz,16500000,fultzma01,https://www.basketball-reference.com/players/f/fultzma01.html,8,12,3,5
Orlando Magic,ORL,32828,30846,109,Terrence Ross,12500000,rosste01,https://www.basketball-reference.com/players/r/rosste01.html,46,15,3,2
Orlando Magic,ORL,32828,30846,168,Mo Bamba,7568742,bambamo01,https://www.basketball-reference.com/players/b/bambamo01.html,46,8,5,0
Orlando Magic,ORL,32828,30846,181,Wendell Carter Jr.,6920027,cartewe01,https://www.basketball-reference.com/players/c/cartewe01.html,54,11,8,1
Orlando Magic,ORL,32828,30846,198,Timofey Mozgov,5573334,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01.html,0,0,0,0
Orlando Magic,ORL,32828,30846,216,Robin Lopez,5000000,lopezro01,https://www.basketball-reference.com/players/l/lopezro01.html,71,9,3,0
Orlando Magic,ORL,32828,30846,278,Cole Anthony,3449400,anthoco01,https://www.basketball-reference.com/players/a/anthoco01.html,47,12,4,4
Orlando Magic,ORL,32828,30846,282,Chuma Okeke,3277080,okekech01,https://www.basketball-reference.com/players/o/okekech01.html,45,7,4,2
Orlando Magic,ORL,32828,30846,292,Michael Carter-Williams,3000000,cartemi01,https://www.basketball-reference.com/players/c/cartemi01.html,31,8,4,4
Orlando Magic,ORL,32828,30846,306,E'Twaun Moore,2641691,mooreet01,https://www.basketball-reference.com/players/m/mooreet01.html,27,4,1,1
Detroit Pistons,DET,48228,14928,34,Blake Griffin,32405817,griffbl01,https://www.basketball-reference.com/players/g/griffbl01.html,46,11,4,3
Detroit Pistons,DET,48228,14928,56,Jerami Grant,20000000,grantje01,https://www.basketball-reference.com/players/g/grantje01.html,54,22,4,2
Detroit Pistons,DET,48228,14928,112,Kelly Olynyk,12195122,olynyke01,https://www.basketball-reference.com/players/o/olynyke01.html,70,13,7,2
Detroit Pistons,DET,48228,14928,166,DeAndre Jordan,2641691,jordade01,https://www.basketball-reference.com/players/j/jordade01.html,57,7,7,1
Detroit Pistons,DET,48228,14928,199,Killian Hayes,5572680,hayeski01,https://www.basketball-reference.com/players/h/hayeski01.html,26,6,2,5
Detroit Pistons,DET,48228,14928,208,Hamidou Diallo,5200000,diallha01,https://www.basketball-reference.com/players/d/diallha01.html,52,11,5,1
Detroit Pistons,DET,48228,14928,214,Josh Jackson,5005350,jacksjo02,https://www.basketball-reference.com/players/j/jacksjo02.html,62,13,4,2
Detroit Pistons,DET,48228,14928,222,Cory Joseph,4910000,josepco01,https://www.basketball-reference.com/players/j/josepco01.html,63,8,2,3
Detroit Pistons,DET,48228,14928,283,Isaiah Stewart,3277080,stewais01,https://www.basketball-reference.com/players/s/stewais01.html,68,7,6,0
Detroit Pistons,DET,48228,14928,293,Frank Jackson,3000000,jacksfr01,https://www.basketball-reference.com/players/j/jacksfr01.html,40,9,2,0
Detroit Pistons,DET,48228,14928,297,Dewayne Dedmon,5256308,dedmode01,https://www.basketball-reference.com/players/d/dedmode01.html,16,7,5,0
Detroit Pistons,DET,48228,14928,300,Saddiq Bey,2824320,beysa01,https://www.basketball-reference.com/players/b/beysa01.html,70,12,4,1
Houston Rockets,HOU,77084,27533,2,John Wall,44310840,walljo01,https://www.basketball-reference.com/players/w/walljo01.html,40,20,3,6
Houston Rockets,HOU,77084,27533,64,Eric Gordon,18218818,gordoer01,https://www.basketball-reference.com/players/g/gordoer01.html,27,17,2,2
Houston Rockets,HOU,77084,27533,99,Christian Wood,13666667,woodch01,https://www.basketball-reference.com/players/w/woodch01.html,41,21,9,1
Houston Rockets,HOU,77084,27533,157,Daniel Theis,8372093,theisda01,https://www.basketball-reference.com/players/t/theisda01.html,65,9,5,1
Houston Rockets,HOU,77084,27533,178,D.J. Augustin,7000000,augusdj01,https://www.basketball-reference.com/players/a/augusdj01.html,57,7,1,3
Houston Rockets,HOU,77084,27533,192,Avery Bradley,8558441,bradlav01,https://www.basketball-reference.com/players/b/bradlav01.html,27,6,2,1
Houston Rockets,HOU,77084,27533,230,David Nwaba,4650000,nwabada01,https://www.basketball-reference.com/players/n/nwabada01.html,30,9,3,1
Houston Rockets,HOU,77084,27533,262,Danuel House,3894000,houseda01,https://www.basketball-reference.com/players/h/houseda01.html,36,8,3,1
Houston Rockets,HOU,77084,27533,274,Sekou Doumbouya,NA,doumbse01,https://www.basketball-reference.com/players/d/doumbse01.html,56,5,2,0
