team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Atlanta Hawks,ATL,30043,31430,167,De'Andre Hunter,7775400,huntede01,https://www.basketball-reference.com/players/h/huntede01.html,23,15,4,1
Atlanta Hawks,ATL,30043,31430,189,Onyeka Okongwu,6104280,okongon01,https://www.basketball-reference.com/players/o/okongon01.html,50,4,3,0
Atlanta Hawks,ATL,30043,31430,218,Lou Williams,5000000,willilo02,https://www.basketball-reference.com/players/w/willilo02.html,66,11,2,3
Atlanta Hawks,ATL,30043,31430,229,Cam Reddish,4670160,reddica01,https://www.basketball-reference.com/players/r/reddica01.html,26,11,4,1
Atlanta Hawks,ATL,30043,31430,243,Kevin Huerter,4253357,huertke01,https://www.basketball-reference.com/players/h/huertke01.html,69,11,3,3
Atlanta Hawks,ATL,30043,31430,256,Gorgui Dieng,4000000,dienggo01,https://www.basketball-reference.com/players/d/dienggo01.html,38,6,3,1
Miami Heat,MIA,33024,25015,12,Jimmy Butler,36016200,butleji01,https://www.basketball-reference.com/players/b/butleji01.html,52,21,6,7
Miami Heat,MIA,33024,25015,37,Bam Adebayo,28103550,adebaba01,https://www.basketball-reference.com/players/a/adebaba01.html,64,18,9,5
Miami Heat,MIA,33024,25015,41,Kyle Lowry,26984128,lowryky01,https://www.basketball-reference.com/players/l/lowryky01.html,46,17,5,7
Miami Heat,MIA,33024,25015,84,Duncan Robinson,15560000,robindu01,https://www.basketball-reference.com/players/r/robindu01.html,72,13,3,1
Miami Heat,MIA,33024,25015,90,Andre Iguodala,17641691,iguodan01,https://www.basketball-reference.com/players/i/iguodan01.html,63,4,3,2
Miami Heat,MIA,33024,25015,179,P.J. Tucker,7000000,tuckepj01,https://www.basketball-reference.com/players/t/tuckepj01.html,52,3,3,1
Miami Heat,MIA,33024,25015,207,Ryan Anderson,5214584,anderry01,https://www.basketball-reference.com/players/a/anderry01.html,0,0,0,0
Miami Heat,MIA,33024,25015,252,Tyler Herro,4004280,herroty01,https://www.basketball-reference.com/players/h/herroty01.html,54,15,5,3
Miami Heat,MIA,33024,25015,307,Udonis Haslem,2641691,hasleud01,https://www.basketball-reference.com/players/h/hasleud01.html,1,4,1,0
Miami Heat,MIA,33024,25015,308,Markieff Morris,2641691,morrima02,https://www.basketball-reference.com/players/m/morrima02.html,61,6,4,1
Boston Celtics,BOS,02128,26569,39,Jayson Tatum,28103550,tatumja01,https://www.basketball-reference.com/players/t/tatumja01.html,64,26,7,4
